Name,Price,Rating
"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199,4.1
"GOBOULT W45 with 50Hrs Battery Life, 4 Mic ENC, Ultra L...",799,4.1
"GOBOULT Mustang Dash 100Hrs, App Support, Dual Pairing,...",1499,4.1
"truke Buds F1 Ultra with 60 Hours Playtime, Spatial Aud...",799,4.0
"Portronics Harmonics Twins S16 in Ear Earbuds With Mic,...",699,4.0
"boAt Nirvana Zenith Pro (2025),50dB Hybrid ANC,Spatial ...",2699,4.2
"Aroma NB120 Amaze Upto 50 Hours* Playtime, Fast Chargin...",499,3.7
"TRIGGR Ultrabuds N4 with Premium Finish, Rubber Grip De...",599,4.0
"JBL Wave Beam TWS, 32Hr Playtime, IP54, Smart Ambient &...",2499,3.8
bAot Wireless B2 Bluetooth Neckband With 50Hrs Playback...,500,3.9
"Caidea TW103 Ray Upto 60H Playtime*, ENC, Fast Charging...",373,3.7
"Aroma NB126 Berry V5.4 Upto 60Hr Playtime* Dual Paring,...",799,3.8
realme Buds 3 wired Wired,599,4.3
"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",799,4.1
"GOBOULT W60 with 60Hrs Battery Life, 4 Mic ENC, Pocket ...",999,4.3
"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D...",699,4.0
Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,799,3.8
Portronics Conch Theta C Type C Wired Earphone With HD ...,299,4.1
PunnkFunnk Wireless Bluetooth Headphones with Deep Bass...,763,3.8
bAot Wireless B2 Bluetooth Neckband With 50Hrs Playback...,498,3.9
JBL C50HI Wired,447,4.0
"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",899,4.1
"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",599,3.8
"Caidea TW103 Ray Upto 60H Playtime*, ENC, Fast Charging...",373,3.7
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799,4.0
"Mivi DuoPods Blaze [New launch], AI-ENC, 60 Hrs, 13mm D...",699,4.2
"JBL Wave Buds 2 ANC Earbuds with BTv5.3,Multi Connect,F...",2799,3.7
"boAt Airdopes 800 w/ Dolby Audio, 4 Mics AI-ENx Tech, T...",1699,4.1
"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199,4.1
TRIGGR Blaze 3.5mm Jack Wired Earphones with 13mm Drive...,129,3.7
CMF by Nothing Buds 2 Plus with 50dB Hybrid ANC| Hi-Res...,3099,4.3
"truke Mega 7 Earbuds w/ 60H Battery, 13mm Drivers, 24-b...",999,4.4
"boAt Rockerz 202, 20H Battery, ENx, ASAP Charge, Dual P...",699,4.2
"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199,4.1
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799,4.0
"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",799,4.1
SONY WI-C100 with 25 Hours Battery Life Bluetooth Gamin...,1699,3.6
"JBL Wave Beam 2 ANC Earbuds with BTv5.3,Multi Connect,F...",3499,3.7
"GOBOULT W45 with 50Hrs Battery Life, 4 Mic ENC, Ultra L...",799,4.1
"Aroma NB120 Amaze Upto 50 Hours* Playtime, Fast Chargin...",499,3.7
"boAt Bassheads 100 C w/ Type-c Jack, boAt Signature Sou...",549,4.3
"Mivi DuoPods Blaze [New launch], AI-ENC, 60 Hrs, 13mm D...",999,4.2
JBL Endurance Run 2 with Fliphook & TwistLock Technolog...,999,4.2
"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",699,4.1
"TRIGGR Ultrabuds N4 with Premium Finish, Rubber Grip De...",599,4.0
bAot Wireless B2 Bluetooth Neckband With 50Hrs Playback...,500,3.9
"boAt Airdopes 161/163,ASAP Charge,40 H Battery, Stream ...",1099,4.0
"JBL Tune Beam 2 TWS, ANC Earbuds, 48Hr Playtime,6 Mics,...",5499,4.1
"Caidea TW103 Ray Upto 60H Playtime*, ENC, Fast Charging...",373,3.7
"GOBOULT W60 with 60Hrs Battery Life, 4 Mic ENC, Pocket ...",999,4.3
PROWARP Original EHS61 Deep Bass with Sound Cancellatio...,193,4.0
"boAt Rockerz 210 ANC w/ 30dB Active Noise Cancellation,...",1499,4.0
"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...",999,4.1
"GOBOULT Y1 Pro with 4 Mic ENC, 60Hrs Battery Life, Fast...",999,4.1
bAot Wireless B2 Bluetooth Neckband With 50Hrs Playback...,500,3.9
Aroma NB119 Titanium - 48 Hours Playtime Neckband Bluet...,499,4.0
"truke Mega 10 Earbuds w/ 70H Battery, 24-Bit Spatial So...",1199,4.1
TECHFIRE 500v2 Neckband hi-bass Wireless Bluetooth head...,269,3.8
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799,4.0
"Mivi DuoPods Blaze [New launch], AI-ENC, 60 Hrs, 13mm D...",699,4.2
"Portronics Harmonics Twins S18 in Ear TWS Earbud,30H Pl...",749,3.9
"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",597,4.1
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",899,4.0
"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",699,4.1
"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199,4.1
TRIGGR Blaze 3.5mm Jack Wired Earphones with 13mm Drive...,129,3.7
"Mivi Duopods D4, 50Hrs Playtime, HD Call, Fast Charging...",799,3.9
"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...",999,4.1
"Noise Buds F1, 50H playtime, Matte finish Case, Quad Mi...",1199,3.9
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799,4.0
"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",399,3.7
"Noise Buds N1 Pro with Metallic Finish, 32dB ANC, 60H P...",1399,3.9
"GOBOULT Loop2 with 10mm Drivers, BoomX Rich Bass, In-li...",329,4.0
MarQ by Flipkart Rhythm Q0824 30 Hours Playtime Type C ...,499,4.0
"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199,4.1
"Aroma NB120 Amaze Upto 50 Hours* Playtime, Fast Chargin...",499,3.7
"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",799,4.1
"Noise Buds E1 (New Launch) 35H Playtime, Quad mic ENC, ...",1399,4.1
"TRIGGR Ultrabuds N4 with Premium Finish, Rubber Grip De...",599,4.0
"Caidea TW103 Ray Upto 60H Playtime*, ENC, Fast Charging...",373,3.7
"GOBOULT W60 with 60Hrs Battery Life, 4 Mic ENC, Pocket ...",999,4.3
"JBL Wave Beam TWS, 32Hr Playtime, IP54, Smart Ambient &...",2499,3.8
"PTron Bassbuds Rogue w/ 40ms Game Mode, 50Hrs Playtime,...",699,3.9
"boAt boAt BassHeads 211,10mm Drivers, Signature Sound, ...",299,4.1
"GOBOULT W60 with 60Hrs Battery Life, 4 Mic ENC, Pocket ...",999,4.3
Aroma NB119 Titanium - 48 Hours Playtime Neckband Bluet...,499,4.0
HOPPUP Predator Xo3 Gaming Earbuds with 35MS Bluetooth,797,4.0
"boAt Airdopes Alpha,35H Battery, 13mm Drivers,ENx, Stre...",999,4.0
"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D...",699,4.0
"Number Navo Buds X1 w/ 50H Playtime,Dual Pairing,13mm S...",599,3.8
"Aroma NB124 Avenger Upto 100 Hours Playtime*,ENC, Voice...",300,3.9
"Soundcore by Anker R50i Vi, 30Hr Playtime, Deep Bass, 2...",998,4.2
"Noise Buds N1 Pro with Metallic Finish, 32dB ANC, 60H P...",1399,3.9
"boAt Rockerz Prime 205,Spatial Audio,50H Battery,ENx,St...",1299,3.9
"GOBOULT EQCharge 32Hrs Battery, Clear Calling ENC Mic, ...",699,4.0
"Noise Buds UNO, 40Hrs Playtime, Quad Mic with ENC, Prem...",1399,4.1
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",799,4.1
"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D...",699,4.0
